Epoch: 1, Loss: 7.8174, Acc: 0.0193, Top-5: 0.0497, Masked-5: 0.2995, Top-10: 0.0770, Masked-10: 0.5042
Epoch: 2, Loss: 7.4000, Acc: 0.0267, Top-5: 0.0689, Masked-5: 0.3052, Top-10: 0.1077, Masked-10: 0.5117
Epoch: 3, Loss: 7.3649, Acc: 0.0279, Top-5: 0.0733, Masked-5: 0.3096, Top-10: 0.1132, Masked-10: 0.5180
Epoch: 4, Loss: 7.2801, Acc: 0.0333, Top-5: 0.0823, Masked-5: 0.3133, Top-10: 0.1280, Masked-10: 0.5232
Epoch: 5, Loss: 7.2445, Acc: 0.0348, Top-5: 0.0887, Masked-5: 0.3157, Top-10: 0.1353, Masked-10: 0.5242
Epoch: 6, Loss: 7.2096, Acc: 0.0393, Top-5: 0.0987, Masked-5: 0.3176, Top-10: 0.1444, Masked-10: 0.5255
Epoch: 7, Loss: 7.1666, Acc: 0.0415, Top-5: 0.1028, Masked-5: 0.3190, Top-10: 0.1526, Masked-10: 0.5260
Epoch: 8, Loss: 7.1456, Acc: 0.0443, Top-5: 0.1129, Masked-5: 0.3215, Top-10: 0.1630, Masked-10: 0.5274
Epoch: 9, Loss: 7.1208, Acc: 0.0478, Top-5: 0.1185, Masked-5: 0.3239, Top-10: 0.1692, Masked-10: 0.5283
Epoch: 10, Loss: 7.0978, Acc: 0.0494, Top-5: 0.1269, Masked-5: 0.3246, Top-10: 0.1804, Masked-10: 0.5279
Epoch: 11, Loss: 7.0586, Acc: 0.0539, Top-5: 0.1356, Masked-5: 0.3269, Top-10: 0.1877, Masked-10: 0.5288
Epoch: 12, Loss: 7.0182, Acc: 0.0576, Top-5: 0.1437, Masked-5: 0.3280, Top-10: 0.1993, Masked-10: 0.5284
Epoch: 13, Loss: 6.9737, Acc: 0.0602, Top-5: 0.1514, Masked-5: 0.3291, Top-10: 0.2082, Masked-10: 0.5280
Epoch: 14, Loss: 6.9656, Acc: 0.0624, Top-5: 0.1577, Masked-5: 0.3307, Top-10: 0.2127, Masked-10: 0.5289
Epoch: 15, Loss: 6.9213, Acc: 0.0648, Top-5: 0.1668, Masked-5: 0.3327, Top-10: 0.2249, Masked-10: 0.5299
Epoch: 16, Loss: 6.9105, Acc: 0.0668, Top-5: 0.1673, Masked-5: 0.3348, Top-10: 0.2272, Masked-10: 0.5312
Epoch: 17, Loss: 6.9113, Acc: 0.0689, Top-5: 0.1723, Masked-5: 0.3363, Top-10: 0.2305, Masked-10: 0.5314
