Epoch: 1, Loss: 5.4869, Acc: 0.1764, Masked-Acc: 0.2113, Top-5: 0.4018, Masked-5: 0.4825, Top-10: 0.4993, Masked-10: 0.6276
Epoch: 2, Loss: 5.4929, Acc: 0.1744, Masked-Acc: 0.2107, Top-5: 0.4003, Masked-5: 0.4837, Top-10: 0.4984, Masked-10: 0.6282
Epoch: 3, Loss: 5.4567, Acc: 0.1783, Masked-Acc: 0.2135, Top-5: 0.4039, Masked-5: 0.4864, Top-10: 0.5025, Masked-10: 0.6298
Epoch: 4, Loss: 5.4561, Acc: 0.1786, Masked-Acc: 0.2135, Top-5: 0.4067, Masked-5: 0.4873, Top-10: 0.5030, Masked-10: 0.6297
Epoch: 5, Loss: 5.4435, Acc: 0.1798, Masked-Acc: 0.2159, Top-5: 0.4077, Masked-5: 0.4868, Top-10: 0.5045, Masked-10: 0.6283
Epoch: 6, Loss: 5.4154, Acc: 0.1817, Masked-Acc: 0.2170, Top-5: 0.4134, Masked-5: 0.4915, Top-10: 0.5105, Masked-10: 0.6294
Epoch: 7, Loss: 5.4657, Acc: 0.1790, Masked-Acc: 0.2148, Top-5: 0.4070, Masked-5: 0.4873, Top-10: 0.5045, Masked-10: 0.6320
Epoch: 8, Loss: 5.4441, Acc: 0.1806, Masked-Acc: 0.2139, Top-5: 0.4073, Masked-5: 0.4844, Top-10: 0.5055, Masked-10: 0.6244
Epoch: 9, Loss: 5.4484, Acc: 0.1798, Masked-Acc: 0.2154, Top-5: 0.4075, Masked-5: 0.4881, Top-10: 0.5030, Masked-10: 0.6288
Epoch: 10, Loss: 5.4294, Acc: 0.1837, Masked-Acc: 0.2186, Top-5: 0.4096, Masked-5: 0.4847, Top-10: 0.5065, Masked-10: 0.6246
Epoch: 11, Loss: 5.4569, Acc: 0.1767, Masked-Acc: 0.2120, Top-5: 0.4040, Masked-5: 0.4849, Top-10: 0.5037, Masked-10: 0.6312
Epoch: 12, Loss: 5.4605, Acc: 0.1803, Masked-Acc: 0.2163, Top-5: 0.4076, Masked-5: 0.4899, Top-10: 0.5035, Masked-10: 0.6298
Epoch: 13, Loss: 5.4451, Acc: 0.1794, Masked-Acc: 0.2164, Top-5: 0.4081, Masked-5: 0.4921, Top-10: 0.5058, Masked-10: 0.6376
Epoch: 14, Loss: 5.4673, Acc: 0.1813, Masked-Acc: 0.2160, Top-5: 0.4093, Masked-5: 0.4907, Top-10: 0.5026, Masked-10: 0.6350
Epoch: 15, Loss: 5.4397, Acc: 0.1814, Masked-Acc: 0.2165, Top-5: 0.4117, Masked-5: 0.4897, Top-10: 0.5080, Masked-10: 0.6310
